P1_001N,GEO_ID,state,county,tract,block group
2456,1500000US170310101002,17,031,010100,2
566,1500000US170310101001,17,031,010100,1
1883,1500000US170310101003,17,031,010100,3
1129,1500000US170310102012,17,031,010201,2
1831,1500000US170310102011,17,031,010201,1
2084,1500000US170310102013,17,031,010201,3
1895,1500000US170310102014,17,031,010201,4
1287,1500000US170310102021,17,031,010202,1
1455,1500000US170310102022,17,031,010202,2
1187,1500000US170310103001,17,031,010300,1
1420,1500000US170310103004,17,031,010300,4
2148,1500000US170310103002,17,031,010300,2
1550,1500000US170310103003,17,031,010300,3
2899,1500000US170310104003,17,031,010400,3
1396,1500000US170310104001,17,031,010400,1
784,1500000US170310104002,17,031,010400,2
1469,1500000US170310105013,17,031,010501,3
916,1500000US170310105011,17,031,010501,1
1821,1500000US170310105012,17,031,010501,2
1570,1500000US170310105021,17,031,010502,1
1708,1500000US170310105022,17,031,010502,2
1835,1500000US170310105031,17,031,010503,1
730,1500000US170310105032,17,031,010503,2
1473,1500000US170310106004,17,031,010600,4
1976,1500000US170310106001,17,031,010600,1
874,1500000US170310106002,17,031,010600,2
1902,1500000US170310106003,17,031,010600,3
1519,1500000US170310107011,17,031,010701,1
2154,1500000US170310107012,17,031,010701,2
1712,1500000US170310107021,17,031,010702,1
934,1500000US170310107022,17,031,010702,2
1335,1500000US170310107023,17,031,010702,3
795,1500000US170310107024,17,031,010702,4
2511,1500000US170310201001,17,031,020100,1
1691,1500000US170310201002,17,031,020100,2
1912,1500000US170310202001,17,031,020200,1
2070,1500000US170310202004,17,031,020200,4
1366,1500000US170310202002,17,031,020200,2
1780,1500000US170310202003,17,031,020200,3
1995,1500000US170310203013,17,031,020301,3
1762,1500000US170310203011,17,031,020301,1
1504,1500000US170310203012,17,031,020301,2
2408,1500000US170310203023,17,031,020302,3
1410,1500000US170310203021,17,031,020302,1
1192,1500000US170310203022,17,031,020302,2
2123,1500000US170310204003,17,031,020400,3
807,1500000US170310204001,17,031,020400,1
1505,1500000US170310204002,17,031,020400,2
1260,1500000US170310205002,17,031,020500,2
2664,1500000US170310205001,17,031,020500,1
1703,1500000US170310205003,17,031,020500,3
972,1500000US170310205004,17,031,020500,4
1862,1500000US170310206011,17,031,020601,1
3204,1500000US170310206012,17,031,020601,2
1633,1500000US170310206013,17,031,020601,3
1200,1500000US170310206021,17,031,020602,1
990,1500000US170310206024,17,031,020602,4
1211,1500000US170310206022,17,031,020602,2
1261,1500000US170310206023,17,031,020602,3
971,1500000US170310207011,17,031,020701,1
908,1500000US170310207012,17,031,020701,2
2087,1500000US170310207021,17,031,020702,1
985,1500000US170310207024,17,031,020702,4
2818,1500000US170310207022,17,031,020702,2
1827,1500000US170310207023,17,031,020702,3
1201,1500000US170310208012,17,031,020801,2
1586,1500000US170310208011,17,031,020801,1
1268,1500000US170310208013,17,031,020801,3
1593,1500000US170310208014,17,031,020801,4
1161,1500000US170310208021,17,031,020802,1
1632,1500000US170310208024,17,031,020802,4
2071,1500000US170310208022,17,031,020802,2
2682,1500000US170310208023,17,031,020802,3
2558,1500000US170310209013,17,031,020901,3
2355,1500000US170310209011,17,031,020901,1
935,1500000US170310209012,17,031,020901,2
2391,1500000US170310209021,17,031,020902,1
2097,1500000US170310209022,17,031,020902,2
869,1500000US170310301011,17,031,030101,1
544,1500000US170310301012,17,031,030101,2
1005,1500000US170310301013,17,031,030101,3
1269,1500000US170310301014,17,031,030101,4
995,1500000US170310301021,17,031,030102,1
1090,1500000US170310301022,17,031,030102,2
1036,1500000US170310301023,17,031,030102,3
935,1500000US170310301031,17,031,030103,1
1169,1500000US170310301032,17,031,030103,2
2906,1500000US170310301041,17,031,030104,1
615,1500000US170310301042,17,031,030104,2
1861,1500000US170310302001,17,031,030200,1
1420,1500000US170310302002,17,031,030200,2
