USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
IL	17001000100	14092279	16904	5.441	0.007	39.9494291	-91.3524736                                                                                                                                        
IL	17001000201	3206322	0	1.238	0.	39.9561156	-91.386691                                                                                                                                                 
IL	17001000202	1514956	0	0.585	0.	39.9417364	-91.3856554                                                                                                                                                
IL	17001000400	4443143	218277	1.716	0.084	39.9524634	-91.4096233                                                                                                                                        
IL	17001000500	1262517	0	0.487	0.	39.943582	-91.3985437                                                                                                                                                 
IL	17001000600	2730589	0	1.054	0.	39.9312981	-91.3825672                                                                                                                                                
IL	17001000700	1356914	237048	0.524	0.092	39.9325684	-91.4079983                                                                                                                                        
IL	17001000800	2367423	970318	0.914	0.375	39.916643	-91.412004                                                                                                                                          
IL	17001000900	1797932	0	0.694	0.	39.9155218	-91.3996397                                                                                                                                                
IL	17001001001	1629646	0	0.629	0.	39.9210276	-91.3851084                                                                                                                                                
IL	17001001002	3076715	0	1.188	0.	39.9088678	-91.3876324                                                                                                                                                
IL	17001001100	12840514	0	4.958	0.	39.9153086	-91.3577026                                                                                                                                               
IL	17001010100	574561416	17611731	221.839	6.8	40.1138108	-91.3281659                                                                                                                                    
IL	17001010200	387454770	276962	149.597	0.107	40.1081128	-91.0341343                                                                                                                                    
IL	17001010301	472642720	1092895	182.488	0.422	39.9034752	-91.0221988                                                                                                                                   
IL	17001010302	299257505	230117	115.544	0.089	39.8292925	-91.1590178                                                                                                                                    
IL	17001010400	175669748	266684	67.826	0.103	39.9817277	-91.2573158                                                                                                                                     
IL	17001010500	48683882	10835920	18.797	4.184	39.9991475	-91.4212596                                                                                                                                    
IL	17001010600	206242306	9992324	79.631	3.858	39.8536242	-91.3329767                                                                                                                                    
IL	17003957600	282415331	5412020	109.041	2.09	37.2945891	-89.3516477                                                                                                                                    
IL	17003957700	275569418	29944873	106.398	11.562	37.1322588	-89.3422085                                                                                                                                 
IL	17003957800	41485534	4928887	16.018	1.903	37.0610007	-89.2058275                                                                                                                                     
IL	17003957900	10197484	4353423	3.937	1.681	36.9879616	-89.1636803                                                                                                                                      
IL	17005951200	251008340	3271860	96.915	1.263	38.9684694	-89.3649392                                                                                                                                    
IL	17005951300	15766400	0	6.087	0.	38.8863756	-89.3901616                                                                                                                                               
IL	17005951400	327227982	192395	126.343	0.074	38.9242859	-89.5380155                                                                                                                                    
IL	17005951500	391063924	2998374	150.991	1.158	38.8040049	-89.3970644                                                                                                                                   
IL	17007010101	4902119	66157	1.893	0.026	42.2699643	-88.8428009                                                                                                                                         
IL	17007010102	4006592	396802	1.547	0.153	42.264173	-88.8711066                                                                                                                                         
IL	17007010200	5280021	87331	2.039	0.034	42.2487471	-88.832485                                                                                                                                          
IL	17007010300	3910836	864	1.51	0.	42.2435995	-88.8528182                                                                                                                                               
IL	17007010400	216840948	751268	83.723	0.29	42.2035845	-88.8275388                                                                                                                                      
IL	17007010501	24701428	86176	9.537	0.033	42.3020018	-88.9120153                                                                                                                                        
IL	17007010502	113905314	695938	43.979	0.269	42.2999101	-88.7921274                                                                                                                                     
IL	17007010601	266087399	401098	102.737	0.155	42.4228772	-88.8092898                                                                                                                                    
IL	17007010603	80746764	100258	31.177	0.039	42.3728532	-88.8875685                                                                                                                                      
IL	17007010604	6755668	752264	2.608	0.29	42.3598811	-88.8642764                                                                                                                                         
IL	17009970400	775758166	4112626	299.522	1.588	39.9723218	-90.7137837                                                                                                                                   
IL	17009970500	16070459	31720	6.205	0.012	39.9764122	-90.7567396                                                                                                                                        
IL	17011964700	361109482	57849	139.425	0.022	41.5301448	-89.3248596                                                                                                                                     
IL	17011964800	538630804	306374	207.967	0.118	41.4918296	-89.6937415                                                                                                                                    
IL	17011964900	186976768	70934	72.192	0.027	41.4380674	-89.4586973                                                                                                                                      
IL	17011965000	284289658	7998690	109.765	3.088	41.3806062	-89.3207034                                                                                                                                   
IL	17011965100	45636774	18962	17.62	0.007	41.3704558	-89.1953291                                                                                                                                        
IL	17011965200	14917128	1650776	5.76	0.637	41.3240851	-89.2153843                                                                                                                                       
IL	17011965300	12525382	0	4.836	0.	41.3964711	-89.459042                                                                                                                                                
IL	17011965400	27567978	0	10.644	0.	41.3551002	-89.4517621                                                                                                                                              
IL	17011965500	426476957	714128	164.664	0.276	41.2631935	-89.547265                                                                                                                                     
IL	17011965600	352753629	706190	136.199	0.273	41.3202696	-89.7468184                                                                                                                                    
IL	17013951200	366003828	25906270	141.315	10.002	39.304454	-90.7108656                                                                                                                                  
IL	17013951300	291411356	51145132	112.515	19.747	39.0147147	-90.6240172                                                                                                                                 
IL	17015960100	192994912	1683186	74.516	0.65	42.1462688	-89.7990338                                                                                                                                     
IL	17015960200	330892683	20872653	127.758	8.059	42.1216075	-90.0794726                                                                                                                                  
