ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13707815,JH561808,12/31/2024 10:00:00 PM,108XX S EBERHART AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,false,false,0513,005,9,49,05,1181502,1833171,2024,05/17/2025 03:40:52 PM,41.697453918,-87.611056021,POINT (-87.611056021 41.697453918)
13709623,JJ102057,12/31/2024 09:00:00 PM,036XX W 57TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0822,008,23,62,05,1153044,1866568,2024,05/17/2025 03:40:52 PM,41.789708646,-87.714374728,POINT (-87.714374728 41.789708646)
13709190,JJ101440,12/31/2024 09:00:00 PM,047XX S ASHLAND AVE,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,0933,009,20,61,05,1166470,1873287,2024,05/17/2025 03:40:52 PM,41.807870583,-87.664953849,POINT (-87.664953849 41.807870583)
13707901,JH561798,12/31/2024 05:30:00 PM,049XX S LA CROSSE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0814,008,22,56,05,1144858,1871516,2024,05/17/2025 03:40:52 PM,41.803444553,-87.74426646,POINT (-87.74426646 41.803444553)
13710467,JJ102941,12/31/2024 05:00:00 PM,041XX W DICKENS AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,false,false,2525,025,35,20,05,1148485,1913634,2024,05/17/2025 03:40:52 PM,41.918952529,-87.72987858,POINT (-87.72987858 41.918952529)
13711659,JJ104299,12/31/2024 04:00:00 PM,087XX S MAY ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,2222,022,21,71,05,1170180,1846894,2024,05/17/2025 03:40:52 PM,41.735364958,-87.652113305,POINT (-87.652113305 41.735364958)
13708584,JH561609,12/31/2024 03:00:00 PM,016XX N LOTUS AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,2532,025,37,25,05,1139822,1910282,2024,05/17/2025 03:40:52 PM,41.909917129,-87.761789862,POINT (-87.761789862 41.909917129)
13707675,JH561432,12/31/2024 02:08:00 PM,093XX S VERNON AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0633,006,8,49,05,1180884,1843162,2024,05/17/2025 03:40:52 PM,41.724884716,-87.613012757,POINT (-87.613012757 41.724884716)
13709282,JJ100719,12/31/2024 02:00:00 PM,007XX E 83RD ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,false,false,0631,006,6,44,06,1182870,1850131,2024,05/17/2025 03:40:52 PM,41.743962612,-87.605522226,POINT (-87.605522226 41.743962612)
13707519,JH561443,12/31/2024 01:00:00 PM,012XX W JARVIS AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,false,false,2423,024,49,1,06,1166097,1949174,2024,05/17/2025 03:40:52 PM,42.016117289,-87.664150332,POINT (-87.664150332 42.016117289)
13708312,JJ100424,12/31/2024 12:30:00 PM,010XX W COLUMBIA AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,2432,024,49,1,05,1167758,1945010,2024,05/17/2025 03:40:52 PM,42.004655426,-87.658159233,POINT (-87.658159233 42.004655426)
13708356,JJ100654,12/31/2024 12:00:00 PM,084XX S WOLCOTT AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,false,false,0614,006,18,71,05,1165156,1848670,2024,05/17/2025 03:40:52 PM,41.740346216,-87.67046918,POINT (-87.67046918 41.740346216)
13709279,JJ101309,12/31/2024 12:00:00 PM,017XX N TROY ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,false,false,1421,014,26,23,06,1155074,1911391,2024,05/17/2025 03:40:52 PM,41.912667769,-87.705730054,POINT (-87.705730054 41.912667769)
13712271,JJ104608,12/31/2024 08:00:00 AM,077XX S CORNELL AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0411,004,8,43,05,1188579,1854013,2024,05/17/2025 03:40:52 PM,41.754480777,-87.584480414,POINT (-87.584480414 41.754480777)
13707247,JH560918,12/31/2024 06:03:00 AM,081XX S ASHLAND AVE,0610,BURGLARY,FORCIBLE ENTRY,ABANDONED BUILDING,false,false,0614,006,17,71,05,1167089,1850738,2024,05/17/2025 03:40:52 PM,41.745980029,-87.663327876,POINT (-87.663327876 41.745980029)
13707135,JH560892,12/31/2024 04:42:00 AM,020XX W 79TH ST,0610,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,false,false,0611,006,18,71,05,1164318,1852265,2024,05/17/2025 03:40:52 PM,41.750229101,-87.673438518,POINT (-87.673438518 41.750229101)
